track_id,album_id,artist_id,track,artist
6io2uRCFnAXfh7NIweqcfg,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Medley Last Summer Dance - Live 2003,Franco Battiato
4ngcYkIAO84xrAilhsKcRQ,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Povera Patria - Live 2003,Franco Battiato
2vP3F8rLBVpUE2EkLHFKfz,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,La stagione dell'amore - Live 2003,Franco Battiato
0xMaiAEme2VLM7sUSzLSwa,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Stranizza D'Amuri - Live 2003,Franco Battiato
3U4B93ZtQ5hcBC5fqC7y10,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Magic Shop - Live 2003,Franco Battiato
5CSO4QobWXrkCimQNqJbUz,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Lode All'Inviolato - Live 2003,Franco Battiato
6vWeGrIxnd9GSTTzV5kqlg,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Mesopotamia - Live 2003,Franco Battiato
4MfQXTghNmsXFUwE76dmLn,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Auto da Fé - Live 2003,Franco Battiato
5nwZX8jUBE7pSMLOjxnGEh,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,L'incantesimo - Live 2003,Franco Battiato
6phjraC0tcQ3QMAbWXm8hT,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Accetta il consiglio - Live 2003,Franco Battiato
2wJnOKkIXTlPvv9z5tKpaP,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,La cura - Live 2003,Franco Battiato
7FmegrUeIS3HfLFqXXuhsJ,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Caffè De La Paix - Live 2003,Franco Battiato
0LfM3kbC8fuUGnOMxdhMwK,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Il Mantello e La Spiga - Live 2003,Franco Battiato
4YKtXKytqPybv7M7HTCPV2,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,E' Stato Molto Bello - Live 2003,Franco Battiato
7IFZIgkMjjbgrX9mDwDuyI,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,E ti vengo a cercare - Live 2003,Franco Battiato
4GFSwUgd0DAm8uPe6AflGL,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Delenda Carthago - Live 2003,Franco Battiato
1dtjNsAxtUesTOYb841pnp,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,L'Oceano di Silenzio - Live 2003,Franco Battiato
6YQIYsG937Q7l6Euokv1DS,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Impressioni Di Settembre - Live 2003,Franco Battiato
0b3B7OcWFmMqVBwonhb6L6,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Shock In My Town - Live 2003,Franco Battiato
3cIH1I4n4SzBNlMzAtZ00D,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Strani Giorni - Live 2003,Franco Battiato
14NhK7pSVOKeVL67BQRmy0,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Atlantide - Live 2003,Franco Battiato
3xlfIVfRQFuUZk52vTfmtt,78KHtR3cIS1akiOcg2POtr,4lianjyuR1tqf6oUX8kjrZ,Shackleton - Live 2003,Franco Battiato
7K9qU53Bc8eLXBWzE8xp4L,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Coro,Franco Battiato
3JfVZ4SDO6fT2y6adjbjCH,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Devota precisazione,Franco Battiato
1Ja8q08FVqKjAIq0IuMl9e,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Danza II,Franco Battiato
0UDWJb3rIKFA9xg0IDmMf2,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Attende Domine,Franco Battiato
7twOTSDxpak0V6mT2OeUvk,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Scampanio,Franco Battiato
6TVtuQqUKrNh5c01LSGYGP,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,L'esistenza di Dio,Franco Battiato
4nQjgazN1KA4y2iDPS6nm2,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Un amore romano,Franco Battiato
43sv7a4nVNsNzO2hAc9Ah2,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Benedictus,Franco Battiato
1Uj6GDjXKE4ev2ItgSpDC1,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Il freddo e il caldo,Franco Battiato
5CkSO33sMW6yhLmDRL4GFM,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Abiuras,Franco Battiato
1iXoLbJ1Xf6pPmL5yoRqwP,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Prologo secondo atto,Franco Battiato
5kYDHl47SXn72N5vDRqgQ4,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Danza I,Franco Battiato
48mSIDRrDTAeErZhJOGMyP,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Corale,Franco Battiato
1Ff6Hm2zeWwUfBjV0xbZry,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Fine del sistema solare,Franco Battiato
3G7AhmVHbPWyYK0VkKD0D6,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Le stimmate,Franco Battiato
6PtvseepBgNAPL72MScPYv,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Duplice intelletto,Franco Battiato
0IWbIbkzQC7OErBBrQmfUl,6Emuji4zhaeR5DQEcAQSxY,4lianjyuR1tqf6oUX8kjrZ,Elettronica arcobaleni,Franco Battiato
7aMyDTnpohDEGZn0zpx1XY,0mq6gm5cbSU2dMNBV06UGB,4lianjyuR1tqf6oUX8kjrZ,Passacaglia,Franco Battiato

